created_at,text
2021-12-04 13:14:48,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 13:13:50,RT @MessiCav10i: Historic. #LM7 https://t.co/wnyXM5EDUz
2021-12-04 13:13:41,"RT @MessiCav10i: Cruyff: ""Messi will be the player to win the most Balon d’Or in history. He will win seven. He is incomparable."" #LM7. htt…"
2021-12-04 13:13:34,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 13:08:41,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 13:07:21,@FinallyVeevy The man lost it it after #LM7
2021-12-04 13:04:39,RT @Jhaysn1: I just love this guy..... And that's on periodt!!... #LM7 https://t.co/mPRyckIOED
2021-12-04 13:04:30,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 13:01:58,"RT @Adrianamessi30: Everyone knows the ballon d’or already have a name written on it, and it’s Lionel Andres Messi 💙, good night. #LM7 http…"
2021-12-04 13:00:20,I was anticipating this particular photo #LM7 https://t.co/hEYprYuvpx
2021-12-04 12:55:38,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:52:22,"@ESPNUK #lm7 
Well deserved #messi7 
I'm loving it how pendu fans are triggered and are crying hard everywhere !
Mo… https://t.co/bf8588T8AU"
2021-12-04 12:50:00,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:49:50,"RT @CrewsMat10: Messi has unbelievable 2021 stats at face value, and they don’t do his performances justice. No player has performed half a…"
2021-12-04 12:49:44,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:49:21,RT @CrewsMat10: THREAD: Why Lionel Messi will win the 2021 Ballon d'Or. #LM7 https://t.co/XG690o7rl0
2021-12-04 12:49:14,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:47:58,"RT @raz_m169: The Irony, this fan base is responsible for their goat finishing outside the #BallonDor top5, they were busy pushing for Kant…"
2021-12-04 12:45:46,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:45:07,RT @UnstoppableM10: The Greatest 🐐 #LM7 https://t.co/RZkDSb9etD
2021-12-04 12:44:56,"Le flow 👌👌
#LM7 https://t.co/bq8QT0q7ph"
2021-12-04 12:44:54,"RT @messi10_rey: Edit: Lionel #Messi #LM7..#BallonDor #FACTOS👍👀 
MESS7 is the definition of greatness !!! https://t.co/RWa1aISbgS"
2021-12-04 12:43:19,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:43:01,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:42:31,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:37:53,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:37:07,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:36:31,RT @Lionel30ii: This is why Lionel Messi should win the 2021 Ballon d’Or #LM7 🐐🇦🇷 https://t.co/QAXT6OQ34R
2021-12-04 12:35:10,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:33:48,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:33:18,"""Messi's finished""
""He can't win another Ballon d'Or""
""Messi can not do it with Argentina""
""Messi won't leave his '… https://t.co/joPEUPVEtB"
2021-12-04 12:29:50,"RT @_emaya_1: The one true goat 🐐 
absolutely mind blowing 
damn messi damn 🔥 
#LM7 https://t.co/SBXbw69o5L"
2021-12-04 12:28:34,"RT @_emaya_1: The one true goat 🐐 
absolutely mind blowing 
damn messi damn 🔥 
#LM7 https://t.co/SBXbw69o5L"
2021-12-04 12:27:28,RT @CrewsMat10: We have truly arrived. #LM7 https://t.co/h1A2AOHmWZ
2021-12-04 12:26:43,"RT @_emaya_1: The one true goat 🐐 
absolutely mind blowing 
damn messi damn 🔥 
#LM7 https://t.co/SBXbw69o5L"
